,3,5,6,8,9,10,12,14,15,21,22,mean_importance,rank_global
ch19-lowgamma-std,0.0006402685074705381,0.0016635077456393266,0.030569529240164976,0.0011286379998278165,0.000839699133259165,0.0010158197579188532,0.0023285230391478493,0.0005703978200057411,0.0017228395096722923,0.0061411072716475185,0.004813697083016243,0.00467582064616094,1.0
ch9-lowgamma-hjact,0.0032771009769571534,0.0024695237931531984,0.00260311105343547,0.00985672887571688,0.0003577704504212376,0.0027710347379591932,0.0012234945713172384,0.0029984402116943086,0.0026581521178723677,0.016256426034343137,0.004104451997694622,0.004416021347324074,2.0
ch9-lowgamma-std,0.002204378737068889,0.0033346643513148216,0.0021807975449927206,0.009486123322774346,0.0007513250048362532,0.0029281688364215124,0.0025307135271323846,0.002683650527267513,0.0018705450534913673,0.012141213929022163,0.003115728600019083,0.003929755403121914,3.0
ch4-lowgamma-hjact,0.0016662538795101957,0.000943390180502783,0.001503052468421198,0.0013208239094934108,0.001014258692068353,0.015661828035535494,0.0010060868239654534,0.005030594034140887,0.001574045721577101,0.009854002769216573,0.001965690757703072,0.0037763661156485924,4.0
ch8-lowgamma-std,0.0012132121953702462,0.003404176107437779,0.00148898402349939,0.002322086497983231,0.000536975822030467,0.0014128363353031728,0.0035471332673370887,0.014159918529008397,0.00339029195061281,0.007708634950283463,0.0011946618790485163,0.003670810141628596,5.0
ch3-lowgamma-hjact,0.010406742483828144,0.0006478863105305989,0.001147876261919173,0.004687733864341845,0.0010824204407205952,0.004167097369071626,0.005583613683209729,0.0018180083299671516,0.0031398034861607922,0.0034470422238100287,0.002766664770985201,0.0035358990204131715,6.0
ch16-lowgamma-de,0.0009132476827033212,0.0002655993466501515,0.0010557107867318035,0.0013484550384998439,0.0007626596927800512,0.0019982091689430517,0.0058687083479601835,0.005356697268075731,0.0009074206857827652,0.019027074884275613,0.0007668814098842002,0.003479151301116974,7.0
ch19-lowgamma-psd,0.0011186114551615027,0.0009645413254994896,0.01727491834943058,0.0008210255500612292,0.0009152882384385697,0.0008663099721817615,0.000374693052903698,0.000662750304934572,0.0023590644460112615,0.009013103503624623,0.003384534337811505,0.0034322582305507986,8.0
ch19-lowgamma-de,0.0011877751406777534,0.0005205576163317859,0.017509739280661397,0.0007697920193357175,0.0006050325847879198,0.001033143136259627,0.0006051410223932294,0.0004882588122863178,0.0026705625515755023,0.010056451161597774,0.0012395607653476256,0.0033350921901140595,9.0
ch19-lowgamma-peaktopeak,0.001312682348632015,0.00254061250970592,0.02232018309291889,0.0017710322838815388,0.0008450554120151746,0.0021730286688749958,0.0010679204889627394,0.00027800400993968123,0.0007139306055558697,0.0002386913050987353,0.0027250130188554043,0.003271468522221906,10.0
ch18-lowgamma-peaktopeak,0.002198629255428234,0.005005543761149896,0.01372685501958465,0.0023642556198468366,0.0007344387340029108,0.00042486540765098823,0.0007637190652345164,0.0006399190625772323,0.003228957741817984,0.006007815106660644,0.00040416607813499556,0.0032271968047353533,11.0
ch10-lowgamma-hjmob,0.0036015163091647397,0.0009030540957610463,0.0017997079007454288,0.0004354364540509513,0.012166940786693822,0.001013443205507177,0.000773015801438047,0.010577050882672507,0.0005935997499756256,0.0007231772365044885,0.002850901440806515,0.0032216221693927584,12.0
ch13-lowgamma-std,0.0005439650579846617,0.00042501331557481185,0.0020385387067916472,0.003743575113902947,0.0014530443398340599,0.003473948557001137,0.010924028283570838,0.0005690806154829101,0.0009259442978631617,0.0027091625795374096,0.008499479886945422,0.0032096164322262736,13.0
ch13-lowgamma-hjact,0.00039321563040839956,0.0007959514942576696,0.0019835615230817125,0.004736912056727184,0.001148369864504612,0.0031474263454763824,0.009432906831622786,0.0007145725052300517,0.0007476981812098502,0.002696205749599418,0.009394293571769267,0.003199192159444303,14.0
ch4-lowgamma-std,0.0007737328507089754,0.0008709074940065586,0.001347352220242863,0.0008046529295425528,0.00047388726969508347,0.011554005576504673,0.0010787789079468736,0.004220892927606445,0.0015569799448062237,0.009722425400600395,0.002361655066043599,0.003160479144336749,15.0
ch3-lowgamma-std,0.008666011838192761,0.0008448505202724268,0.0010630730342295822,0.004762083417341381,0.0012860690938032216,0.002639774741882929,0.005948007986719994,0.0019518451539441753,0.002496541840452297,0.0021265996161355725,0.0028657903826050848,0.0031500588750526747,16.0
ch8-lowgamma-hjact,0.0008807233008086457,0.004673278444957493,0.0015912718865744152,0.0017394446315589637,0.0017453187243395248,0.001912624309310641,0.0029649240455861237,0.00876910749647714,0.002881398578546283,0.006827579219852666,0.0005241677668425646,0.003137258036804952,17.0
ch9-lowgamma-peaktopeak,0.0008201230496453846,0.006755210664408386,0.003926660647677824,0.007837723047510542,0.0003793220675547755,0.0014389099697120777,0.0012087448793864698,0.0007347849995901135,0.0012551728427363312,0.0036029279850908415,0.006351579399403292,0.0031191963229741855,18.0
ch3-lowgamma-de,0.00883952833531611,0.000534985879870359,0.0018853235149753024,0.006339980141074174,0.0018085209474028386,0.0026251970877641004,0.0025745278994856666,0.0020752763197342625,0.0010554221518610882,0.0022470922504550708,0.0036458782335275913,0.0030574302510424146,19.0
ch5-lowgamma-hjmob,0.000702383773860792,0.00035381164442291075,0.002943770318478329,0.0007011728262290307,0.019625189716718585,0.00032077855280416786,0.0007906266928009099,0.00048028100543383035,0.0006785924950775165,0.0026315895906103043,0.004294124143144721,0.0030474837054164632,20.0
ch7-lowgamma-kurt,0.0008413658933767116,0.0010298285013011787,0.0012539164468486524,0.0033991007583148267,0.001334820921492537,0.002590431053347001,0.00040700528035262566,0.0016507210241764683,0.014384565594377934,0.001172478464782752,0.005410981741844873,0.0030432014254741417,21.0
ch6-lowgamma-std,0.0018435635985439593,0.0018466045331455756,0.0007084163095066694,0.0026255741988704105,0.0013165619923948158,0.012004366086551628,0.003930402658069574,0.0005114993916060556,0.0007688158149832364,0.007231939000280698,0.0006394549588557803,0.0030388362311644,22.0
ch18-lowgamma-psd,0.002544475343596666,0.0006430369468677585,0.019845452074373382,0.000733364703623089,0.000513079889734528,0.0005211135853608232,0.000956161167539406,0.000426838832207716,0.002764546684738106,0.0032481207849289965,0.0009676221030738411,0.003014892010549483,23.0
ch9-lowgamma-psd,0.0014216163122152791,0.0021307709847791247,0.001922556585551058,0.00852073542870231,0.0003279992610096158,0.001593338853810796,0.001196860499351605,0.0012837470285500423,0.00100412458452624,0.01089485522582793,0.002144689349366235,0.0029492085557900212,24.0
ch17-lowgamma-std,0.001555347218603497,0.001155712853503971,0.002031710809913354,0.000588637492954512,0.001756198155839825,0.0011818323908698723,0.0018895307511076188,0.018119762183542734,0.001591571486074079,0.00046727944498056625,0.0017457715248783102,0.0029166685738425766,25.0
ch3-lowgamma-psd,0.0080575356533888,0.00043943714051064434,0.0009980183317204161,0.0064229595968414216,0.0013309286245964688,0.0014778123502984135,0.0034771688853016173,0.0029007483173284555,0.0005556488563047469,0.0026189968700416786,0.0032344531276309093,0.0028648825230875976,26.0
ch18-lowgamma-de,0.0027087856285530295,0.0004624900254361147,0.01844978821616195,0.0008178778552149764,0.0005954802068277888,0.0002821054584602163,0.0009326452738146633,0.0003177782087501388,0.0009170742473973211,0.004798635273028109,0.0011407369047387462,0.002856672481671187,27.0
ch1-lowgamma-de,0.0021550744467641555,0.0011354587335906166,0.0009544398105286303,0.00046681189153830203,0.003097620912618164,0.007915253232525843,0.0008324483438817455,0.0008731019049172665,0.00029948756176515466,0.012502712816066786,0.000834447635036848,0.002824259753566683,28.0
ch17-lowgamma-hjact,0.001099076449528157,0.0013556559261226637,0.0011950957098385956,0.0008413208718092874,0.0024159487032399,0.0012735738912898595,0.001478371701429068,0.01655300506211427,0.0020830531824738933,0.0007500139512322495,0.0013771205331210795,0.002765657816563548,29.0
