,3,5,6,8,9,10,12,14,15,21,22,mean_importance,rank_global
ch19-lowgamma-hjmob,0.026201354,0.017087912,0.04811763,0.0020912641,0.0703647,0.10886612,0.111970074,0.032780334,0.19097982,0.0033406825,0.008167553,0.056360677,38.0
ch19-lowgamma-de,0.051025383,0.0,0.071635276,0.05072272,0.015996104,0.0,0.0,0.0025036358,0.09414189,0.32491207,0.007253475,0.056199145,39.0
ch7-theta-kurt,0.027584385,0.022335438,0.023048768,0.062066976,0.051791206,0.0,0.06683798,0.30794498,0.024376439,0.02528128,0.005246188,0.05604669,40.0
ch17-lowgamma-de,0.06753094,0.0,0.0,0.0,0.0,0.03185209,0.0,0.4421781,0.041844342,0.011718574,0.02135078,0.05604317,41.0
ch9-beta-kurt,0.0,0.045323808,0.0,0.035194576,0.21560407,0.008540812,0.012785873,0.0,0.0040904214,0.09490906,0.19677426,0.05574753,42.0
ch5-delta-kurt,0.3164232,0.0,0.035082497,0.03812436,0.1621388,0.01349565,0.021134386,0.0042329878,0.0077052745,0.0,0.013574214,0.055628303,43.0
ch12-beta-hjcomp,0.002634885,0.01726761,0.32880145,0.13480243,0.034464303,0.005138301,0.013785518,0.006796972,0.025631854,0.01143441,0.027754104,0.05531926,44.0
ch15-lowgamma-kurt,0.071277104,0.0,0.0039996426,0.008003112,0.0,0.00712876,0.010275895,0.44436508,0.00388987,0.0,0.056784026,0.055065773,45.0
ch11-lowgamma-peaktopeak,0.013377396,0.07015858,0.08043209,0.0,0.011985369,0.21818143,0.14261468,0.060962982,0.0,0.007984899,0.0,0.0550634,46.0
ch8-beta-hjcomp,0.10796767,0.032342598,0.016214577,0.019804616,0.050228152,0.09676564,0.045104455,0.10476162,0.012338771,0.026919436,0.09003737,0.054771353,47.0
ch10-lowgamma-de,0.008241666,0.039726026,0.0030978965,0.06951791,0.0,0.013067759,0.01504543,0.004897524,0.013297738,0.4347792,0.0,0.05469738,48.0
ch17-lowgamma-hjmob,0.0,0.0,0.005125032,0.0031389939,0.110672556,0.20558561,0.0041949484,0.03691962,0.0,0.08484625,0.14597008,0.054223005,49.0
ch17-sigma-skew,0.07680371,0.020941172,0.0,0.0,0.06310752,0.006817827,0.024722502,0.009817133,0.03654078,0.13253483,0.2199969,0.053752944,50.0
ch8-lowgamma-std,0.023967583,0.0,0.01303173,0.080558755,0.0,0.07940974,0.06816489,0.22550543,0.092553936,0.0,0.006498928,0.053608272,51.0
ch14-theta-skew,0.089581735,0.029948216,0.0,0.2673205,0.0,0.0,0.0,0.16824102,0.0,0.0,0.03154469,0.053330563,52.0
ch16-lowgamma-de,0.0,0.0,0.0076144827,0.0,0.0,0.032981962,0.19182855,0.31262594,0.005215829,0.016735189,0.019437738,0.053312697,53.0
ch13-lowgamma-de,0.0,0.0,0.0,0.065253094,0.016094267,0.18278793,0.1221603,0.01729064,0.16963522,0.0,0.0,0.052111045,54.0
ch18-theta-relpow,0.046175074,0.0,0.0,0.0,0.04361355,0.0,0.19825754,0.009319665,0.10801342,0.15636261,0.0,0.051067438,55.0
ch13-theta-kurt,0.01791439,0.0,0.0,0.16836616,0.19541107,0.008378246,0.008973969,0.0013554738,0.0,0.15076745,0.0,0.05010607,56.0
ch6-beta-psd,0.1012454,0.0,0.0,0.0013743264,0.17760207,0.10370338,0.0,0.0,0.16515632,0.0,0.0,0.049916502,57.0
ch13-lowgamma-peaktopeak,0.0,0.01249251,0.004638965,0.13098507,0.27271074,0.006519166,0.020717496,0.014725926,0.0,0.0,0.08589427,0.049880374,58.0
ch6-lowgamma-kurt,0.012156661,0.11573594,0.0,0.010523394,0.2089122,0.045345288,0.01493588,0.009238569,0.11392115,0.0,0.015961822,0.04970281,59.0
ch18-beta-psd,0.0,0.25125745,0.005203547,0.014060446,0.045656558,0.0,0.16231185,0.0,0.0,0.0675269,0.0,0.049637888,60.0
ch13-sigma-kurt,0.029174883,0.1271581,0.21190903,0.0,0.045551,0.0,0.0,0.0,0.073839866,0.0,0.05740827,0.049549196,61.0
ch19-lowgamma-kurt,0.0016336751,0.0,0.026794147,0.195439,0.015232307,0.0,0.0,0.047448307,0.015580115,0.124018654,0.11745744,0.049418513,62.0
ch1-lowgamma-hjmob,0.0080207605,0.2693467,0.005251587,0.015695848,0.0288089,0.0,0.001655535,0.01108768,0.15389131,0.019506736,0.023505807,0.048797354,63.0
ch5-sigma-skew,0.0,0.0,0.07604504,0.11535927,0.0,0.0071072006,0.29499334,0.023690246,0.018019207,0.0,0.0,0.048655845,64.0
ch13-lowgamma-skew,0.0033535748,0.017983247,0.0,0.012140494,0.40060815,0.0062211147,0.02345813,0.0,0.00900606,0.0,0.055976633,0.048067942,65.0
ch14-beta-kurt,0.0026839734,0.007111728,0.01675361,0.022412853,0.0,0.056841284,0.04426212,0.0,0.22557436,0.15115021,0.0,0.04789001,66.0
ch18-lowgamma-hjmob,0.2879033,0.0,0.019586127,0.039357305,0.006766958,0.021801244,0.0,0.055461198,0.011790347,0.08407525,0.0,0.047885608,67.0
ch7-sigma-peaktopeak,0.04607258,0.0,0.004971008,0.0,0.0,0.0,0.14181305,0.09363395,0.21474366,0.006444116,0.0,0.046152577,68.0
ch13-theta-relpow,0.014317948,0.01981017,0.0,0.03305465,0.04617898,0.0,0.0305528,0.12375383,0.0023049768,0.15827684,0.07514726,0.045763407,69.0
ch6-lowgamma-hjcomp,0.10139474,0.008830884,0.0,0.0,0.09598299,0.05290044,0.014845311,0.05413941,0.05449404,0.020736726,0.09918844,0.045682993,70.0
ch2-theta-kurt,0.0,0.02438793,0.0,0.0031976039,0.07209923,0.046513546,0.0,0.19009113,0.015430399,0.14692214,0.0,0.045331087,71.0
ch5-sigma-kurt,0.08765386,0.020421641,0.10865005,0.099301234,0.0,0.0,0.007090491,0.009449803,0.06718239,0.027098017,0.07022348,0.045188274,72.0
ch6-delta-skew,0.03756291,0.02008439,0.06039616,0.0,0.024727458,0.007987002,0.09518616,0.0,0.008985543,0.05972039,0.18205246,0.045154773,73.0
ch13-lowgamma-hjcomp,0.016878476,0.16888662,0.0051778075,0.004300442,0.040557906,0.01739638,0.12077983,0.00825047,0.08667301,0.023541175,0.0,0.04476747,74.0
ch6-alpha-kurt,0.29701814,0.0,0.02712102,0.031648368,0.0,0.0121483505,0.0,0.0,0.047557037,0.006141328,0.06965749,0.04466288,75.0
ch16-lowgamma-hjmob,0.0,0.053925265,0.09080688,0.07001987,0.0,0.026192475,0.0,0.04933953,0.010216119,0.0,0.18637387,0.044261273,76.0
