feature,mean_importance
ch7-lowgamma-kurt,0.5697527
ch7-sigma-peaktopeak,0.28643107
ch6-beta-hjcomp,0.26826426
ch6-beta-psd,0.25028634
ch18-beta-peaktopeak,0.22873935
ch19-lowgamma-hjmob,0.21602397
ch14-beta-kurt,0.20170859
ch3-lowgamma-std,0.19806623
ch9-lowgamma-std,0.17844525
ch8-lowgamma-peaktopeak,0.17541629
ch5-lowgamma-hjcomp,0.17494021
ch18-alpha-hjmob,0.15628733
ch10-theta-kurt,0.15245494
ch12-beta-skew,0.14997588
ch1-lowgamma-hjmob,0.14103368
ch12-theta-kurt,0.13628006
ch8-lowgamma-std,0.1223172
ch3-beta-hjcomp,0.120723926
ch4-lowgamma-hjcomp,0.119954735
ch7-theta-skew,0.11267979
ch1-beta-relpow,0.112434424
ch17-alpha-peaktopeak,0.11196785
ch12-beta-peaktopeak,0.1075516
ch18-theta-relpow,0.10576936
ch8-lowgamma-de,0.104485884
ch8-lowgamma-kurt,0.101691134
ch14-alpha-relpow,0.099975444
ch7-delta-skew,0.09957686
ch14-lowgamma-de,0.09524877
ch6-lowgamma-kurt,0.09039435
ch7-lowgamma-skew,0.08959945
ch13-lowgamma-hjcomp,0.08570555
ch7-theta-hjcomp,0.08199815
ch13-sigma-kurt,0.08070784
ch13-beta-hjcomp,0.07798076
ch7-theta-relpow,0.07735647
ch4-lowgamma-std,0.075935446
ch8-theta-skew,0.075040646
ch10-beta-psd,0.07197998
ch19-sigma-kurt,0.07077405
ch16-theta-skew,0.069287874
ch4-alpha-hjcomp,0.069255255
ch8-lowgamma-hjcomp,0.065468706
ch19-lowgamma-de,0.065376036
ch1-theta-hjcomp,0.06505811
ch13-lowgamma-de,0.06491542
ch9-theta-kurt,0.06468818
ch10-theta-relpow,0.06426716
ch1-theta-kurt,0.061405346
ch8-beta-psd,0.061257057
ch14-theta-kurt,0.061241772
ch6-lowgamma-hjcomp,0.060333736
ch2-lowgamma-skew,0.05960587
ch19-lowgamma-hjcomp,0.059278857
ch14-lowgamma-hjmob,0.05889419
ch8-beta-peaktopeak,0.055087294
ch17-theta-skew,0.054867905
ch9-lowgamma-hjmob,0.053273108
ch3-delta-skew,0.05267626
ch5-sigma-kurt,0.052213833
ch19-lowgamma-peaktopeak,0.05201293
ch17-delta-relpow,0.051057503
ch2-lowgamma-hjcomp,0.04968556
ch9-alpha-skew,0.049055543
ch12-lowgamma-hjmob,0.048873916
ch3-delta-relpow,0.04858815
ch15-sigma-relpow,0.047988705
ch2-alpha-hjmob,0.047736526
ch9-lowgamma-peaktopeak,0.047560465
ch6-alpha-kurt,0.047459036
ch10-beta-hjcomp,0.046361174
ch16-beta-kurt,0.044965733
ch15-lowgamma-de,0.044694196
ch3-alpha-relpow,0.044651244
ch17-lowgamma-de,0.04458287
ch14-lowgamma-kurt,0.042696305
ch11-lowgamma-hjcomp,0.042108376
ch17-beta-kurt,0.041688215
ch4-delta-kurt,0.041650258
ch12-delta-relpow,0.041229974
ch7-lowgamma-de,0.041106366
ch19-lowgamma-std,0.040910043
ch4-lowgamma-hjmob,0.040196054
ch17-lowgamma-std,0.039734915
ch14-alpha-kurt,0.039279904
ch9-beta-hjact,0.038479704
ch7-beta-skew,0.037955347
ch12-lowgamma-kurt,0.0377304
ch11-beta-psd,0.037017554
ch18-lowgamma-peaktopeak,0.036922667
ch6-lowgamma-hjact,0.03689809
ch3-lowgamma-kurt,0.036727987
ch2-delta-skew,0.036542468
ch8-beta-skew,0.03506816
ch8-sigma-kurt,0.034680046
ch12-lowgamma-de,0.034586415
ch9-lowgamma-kurt,0.03455139
ch17-sigma-skew,0.03341942
ch7-lowgamma-hjact,0.033224985
ch7-sigma-skew,0.03309848
ch19-alpha-relpow,0.032818783
ch13-lowgamma-kurt,0.032226365
ch4-sigma-kurt,0.03193137
ch8-lowgamma-skew,0.029575739
ch11-theta-skew,0.02931629
ch12-lowgamma-peaktopeak,0.028987074
ch6-lowgamma-peaktopeak,0.028984712
ch7-alpha-hjmob,0.028840516
ch13-alpha-relpow,0.028838342
ch9-lowgamma-hjcomp,0.028652601
ch17-theta-kurt,0.028602123
ch13-alpha-skew,0.027983975
ch16-sigma-kurt,0.027739843
ch1-beta-hjcomp,0.027366633
ch8-theta-kurt,0.027199259
ch1-alpha-kurt,0.026696399
ch12-beta-hjcomp,0.026641475
ch3-beta-skew,0.026129063
ch3-beta-psd,0.026032064
ch14-beta-psd,0.023912588
ch5-alpha-hjmob,0.02390109
ch11-sigma-relpow,0.02304624
ch4-theta-kurt,0.022990244
ch1-lowgamma-relpow,0.022412086
ch4-theta-skew,0.022118043
ch7-theta-kurt,0.021949101
ch13-sigma-skew,0.021678343
ch5-alpha-relpow,0.021559453
ch18-beta-hjcomp,0.021235935
ch18-beta-kurt,0.021189578
ch9-lowgamma-de,0.021029973
ch12-theta-skew,0.020641696
ch17-alpha-skew,0.020636374
ch5-beta-skew,0.020335423
ch16-beta-skew,0.019913249
ch10-alpha-skew,0.019591294
ch15-sigma-skew,0.019415705
ch6-alpha-hjcomp,0.019391743
ch11-alpha-skew,0.018611273
ch3-theta-psd,0.01844617
ch6-alpha-hjmob,0.01831262
ch14-lowgamma-relpow,0.018070187
ch19-beta-relpow,0.017965589
ch7-delta-relpow,0.017705804
ch17-beta-relpow,0.017315941
ch9-sigma-skew,0.017202392
ch13-alpha-hjmob,0.017073106
ch10-beta-skew,0.017068464
ch6-theta-kurt,0.017066155
ch6-lowgamma-de,0.016959086
ch5-sigma-skew,0.016726593
ch7-beta-hjmob,0.015964324
ch19-lowgamma-kurt,0.01548396
ch4-delta-relpow,0.015419103
ch10-lowgamma-hjmob,0.015385588
ch7-beta-peaktopeak,0.014968773
ch5-theta-kurt,0.014891516
ch4-lowgamma-peaktopeak,0.014841917
ch5-lowgamma-de,0.014667367
ch17-beta-peaktopeak,0.014599978
ch2-lowgamma-de,0.0145903155
ch1-beta-psd,0.0144382985
ch15-alpha-hjmob,0.014414196
ch7-beta-hjcomp,0.014265425
ch5-lowgamma-kurt,0.013657934
ch7-beta-psd,0.01350222
ch13-theta-psd,0.013357792
ch2-theta-kurt,0.013100598
ch5-lowgamma-hjmob,0.01298518
ch15-alpha-skew,0.012865118
ch12-alpha-skew,0.01280394
ch16-delta-relpow,0.012764095
ch11-alpha-hjmob,0.012584365
ch6-delta-relpow,0.012493652
ch3-sigma-skew,0.012317134
ch14-beta-skew,0.012273536
ch18-lowgamma-kurt,0.012234201
ch16-lowgamma-hjmob,0.011940561
ch11-lowgamma-de,0.011847016
ch8-beta-hjcomp,0.01178027
ch12-sigma-kurt,0.011263179
ch4-theta-hjcomp,0.011013551
ch7-alpha-peaktopeak,0.010857542
ch1-lowgamma-peaktopeak,0.010684045
ch18-theta-kurt,0.010556154
ch10-lowgamma-de,0.010442619
ch13-beta-peaktopeak,0.010298681
ch4-beta-hjcomp,0.010172452
ch14-alpha-skew,0.010083967
ch13-beta-relpow,0.010001788
ch2-alpha-skew,0.009867752
ch17-lowgamma-hjcomp,0.009814361
ch4-lowgamma-relpow,0.00979875
ch6-delta-skew,0.009743113
ch15-beta-skew,0.009623271
ch3-lowgamma-hjcomp,0.009612634
ch3-lowgamma-relpow,0.0095324
ch10-theta-skew,0.008853157
ch15-theta-hjcomp,0.008837222
ch18-lowgamma-hjmob,0.008779774
ch14-lowgamma-peaktopeak,0.008744315
ch7-beta-relpow,0.0087177865
ch18-sigma-peaktopeak,0.008660974
ch2-lowgamma-peaktopeak,0.00835013
ch10-delta-skew,0.00832303
ch5-delta-kurt,0.0082396
ch5-theta-relpow,0.008191602
ch3-beta-peaktopeak,0.007999489
ch8-theta-relpow,0.007867726
ch5-theta-skew,0.0077188984
ch5-beta-kurt,0.007702851
ch6-beta-skew,0.0077003376
ch12-theta-peaktopeak,0.0075417366
ch13-lowgamma-skew,0.007532086
ch11-lowgamma-hjmob,0.007078497
ch13-lowgamma-hjmob,0.0067065805
ch17-lowgamma-peaktopeak,0.006574355
ch8-alpha-skew,0.0063312436
ch7-theta-psd,0.0063240496
ch7-beta-hjact,0.0063214945
ch15-theta-kurt,0.006181385
ch4-beta-peaktopeak,0.0060299705
ch3-lowgamma-peaktopeak,0.005919439
ch7-alpha-relpow,0.00586279
ch11-lowgamma-kurt,0.005840162
ch17-sigma-kurt,0.0058327
ch15-lowgamma-peaktopeak,0.0057906597
ch11-beta-skew,0.0057785343
ch8-sigma-skew,0.0055895327
ch6-theta-relpow,0.005450727
ch18-lowgamma-de,0.005427957
ch8-sigma-relpow,0.0053016013
ch19-alpha-skew,0.004800836
ch3-lowgamma-de,0.004491914
ch9-beta-skew,0.004481551
ch1-theta-skew,0.00385763
ch3-alpha-skew,0.0038556329
ch6-theta-skew,0.0037812218
ch2-lowgamma-relpow,0.0036934025
ch1-alpha-skew,0.0036721
ch3-lowgamma-hjmob,0.0036221615
ch16-lowgamma-peaktopeak,0.0034438984
ch18-alpha-kurt,0.003443772
ch18-beta-relpow,0.0033609874
ch16-lowgamma-de,0.0032626076
ch19-sigma-skew,0.0030860028
ch10-lowgamma-kurt,0.0030450001
ch1-sigma-kurt,0.0030392106
ch6-lowgamma-relpow,0.0029773584
ch15-delta-skew,0.0029610416
ch7-lowgamma-relpow,0.0029384943
ch8-delta-relpow,0.0027637964
ch15-lowgamma-kurt,0.0027513092
