feature,mean_importance
ch6-lowgamma-de,0.16316329
ch17-alpha-peaktopeak,0.15049551
ch4-lowgamma-std,0.138625
ch5-alpha-relpow,0.08696789
ch6-lowgamma-hjact,0.07751996
ch3-beta-hjcomp,0.06375365
ch8-alpha-peaktopeak,0.04524561
ch11-lowgamma-peaktopeak,0.042174518
ch3-sigma-relpow,0.038252886
ch4-lowgamma-relpow,0.037118696
ch16-lowgamma-hjcomp,0.03183051
ch1-sigma-kurt,0.028085712
ch16-lowgamma-relpow,0.027890539
ch18-alpha-skew,0.0277327
ch1-lowgamma-de,0.027623074
ch3-lowgamma-std,0.025465209
ch13-lowgamma-hjact,0.01945421
ch8-sigma-relpow,0.01917035
ch7-lowgamma-kurt,0.01796738
ch8-lowgamma-std,0.017555084
ch14-theta-kurt,0.016778475
ch19-lowgamma-peaktopeak,0.01653239
ch10-lowgamma-kurt,0.015967237
ch11-delta-relpow,0.015631402
ch7-beta-relpow,0.014781007
ch2-alpha-skew,0.013843647
ch17-lowgamma-hjmob,0.013642473
ch6-beta-psd,0.013212888
ch13-lowgamma-de,0.011287469
ch1-theta-hjcomp,0.010774378
ch15-lowgamma-relpow,0.010367276
ch11-lowgamma-de,0.010152481
ch4-theta-relpow,0.0100333365
ch4-alpha-relpow,0.009983228
ch9-lowgamma-de,0.009750505
ch9-lowgamma-std,0.009699423
ch3-theta-skew,0.009167586
ch8-beta-hjcomp,0.009009337
ch3-beta-psd,0.0086437855
ch16-delta-relpow,0.00772362
ch14-beta-kurt,0.0077047767
ch12-lowgamma-peaktopeak,0.0074590277
ch16-lowgamma-peaktopeak,0.0067195287
ch3-lowgamma-de,0.006599992
ch17-lowgamma-peaktopeak,0.0065436075
ch6-theta-kurt,0.0064010075
ch9-beta-psd,0.0061551854
ch9-beta-peaktopeak,0.0061463527
ch3-lowgamma-peaktopeak,0.00604875
ch6-lowgamma-kurt,0.0059714955
ch7-lowgamma-peaktopeak,0.0059329816
ch16-lowgamma-de,0.0059298
ch6-alpha-hjmob,0.005782893
ch1-lowgamma-kurt,0.0054988256
ch18-alpha-kurt,0.005077031
ch5-lowgamma-relpow,0.004990147
ch1-alpha-skew,0.004700016
ch10-beta-skew,0.0046789367
ch10-delta-skew,0.0046011438
ch1-beta-hjcomp,0.0044548567
ch2-lowgamma-relpow,0.004364754
ch15-delta-skew,0.004222741
ch8-alpha-hjcomp,0.004184476
ch2-lowgamma-skew,0.0041785063
ch12-alpha-relpow,0.0041467976
ch12-theta-kurt,0.004049833
ch12-beta-peaktopeak,0.003994037
ch14-beta-peaktopeak,0.003978442
ch10-theta-skew,0.0038955966
ch12-theta-peaktopeak,0.0037677677
ch17-lowgamma-std,0.0037347972
ch7-theta-relpow,0.0037008098
ch18-alpha-hjmob,0.003669339
ch5-lowgamma-hjmob,0.0035240059
ch15-theta-kurt,0.003510127
ch14-sigma-kurt,0.0035056067
ch11-sigma-relpow,0.0035003226
ch17-alpha-skew,0.0034614373
ch13-theta-skew,0.0032638805
ch14-alpha-relpow,0.0032158706
ch6-theta-relpow,0.0031361736
ch7-beta-psd,0.0031136964
ch19-sigma-kurt,0.0029973001
ch9-beta-hjact,0.0029867466
ch6-alpha-kurt,0.0029807852
ch13-alpha-kurt,0.0029641239
ch12-theta-skew,0.0029605196
ch19-lowgamma-hjmob,0.002925831
ch18-beta-relpow,0.0028895906
ch19-theta-kurt,0.0028129916
ch11-lowgamma-relpow,0.0028090498
ch5-alpha-hjmob,0.0028025776
ch17-theta-kurt,0.00280255
ch2-lowgamma-peaktopeak,0.0027836112
ch5-lowgamma-peaktopeak,0.0027683966
ch7-beta-hjact,0.0027499804
ch19-lowgamma-std,0.0027174603
ch6-lowgamma-hjcomp,0.0026869713
ch6-beta-hjcomp,0.0026831278
ch3-delta-relpow,0.0026164385
ch13-lowgamma-kurt,0.0026046084
ch4-lowgamma-hjcomp,0.0025617161
ch7-lowgamma-de,0.0025547792
ch16-theta-kurt,0.0025507761
ch14-lowgamma-skew,0.0025403714
ch13-lowgamma-hjmob,0.0025121062
ch7-alpha-peaktopeak,0.0024681634
ch11-alpha-skew,0.002461483
ch8-lowgamma-skew,0.0024556825
ch18-lowgamma-kurt,0.0024528445
ch3-sigma-skew,0.002409489
ch5-sigma-kurt,0.0023422276
ch17-lowgamma-de,0.0023263753
ch3-lowgamma-hjcomp,0.0023242706
ch2-theta-kurt,0.0023219234
ch7-lowgamma-skew,0.002298425
ch3-lowgamma-hjmob,0.0022922694
ch19-beta-relpow,0.0022912673
ch13-lowgamma-peaktopeak,0.0022510164
ch16-sigma-kurt,0.0022338866
ch18-theta-skew,0.0022128245
ch9-lowgamma-peaktopeak,0.0021943634
ch11-theta-skew,0.002165764
ch2-sigma-skew,0.0021412964
ch14-theta-skew,0.002137971
ch9-lowgamma-hjmob,0.0020769746
ch14-beta-psd,0.0020089243
ch9-beta-skew,0.0020056455
ch14-lowgamma-de,0.0019761967
ch10-sigma-relpow,0.0019227705
ch7-theta-kurt,0.0019110709
ch12-sigma-kurt,0.0019057177
ch7-beta-hjcomp,0.0018795278
ch2-lowgamma-de,0.0018592379
ch15-lowgamma-de,0.0018580294
ch9-lowgamma-kurt,0.0018516161
ch15-beta-skew,0.001850558
ch11-beta-psd,0.0018292628
ch7-alpha-hjmob,0.0018272231
ch10-sigma-skew,0.0018094585
ch15-theta-skew,0.0017958295
ch7-theta-peaktopeak,0.0017842561
ch19-alpha-kurt,0.0017837761
ch10-lowgamma-peaktopeak,0.0017619276
ch7-beta-peaktopeak,0.0017559568
ch10-alpha-skew,0.0017268773
ch10-lowgamma-hjmob,0.0017247234
ch4-beta-peaktopeak,0.0017006304
ch13-alpha-hjmob,0.0016812595
ch12-lowgamma-kurt,0.0016270143
ch2-alpha-hjmob,0.0016167242
ch1-lowgamma-hjmob,0.001614385
ch12-theta-hjcomp,0.0016102779
ch12-alpha-skew,0.0015359554
ch6-lowgamma-peaktopeak,0.0015340538
ch1-lowgamma-relpow,0.0015255365
ch18-lowgamma-hjmob,0.0015167209
ch4-delta-kurt,0.0015098294
ch8-beta-skew,0.0014976849
ch2-beta-hjcomp,0.0014951023
ch19-theta-skew,0.0014786663
ch4-lowgamma-peaktopeak,0.001466996
ch5-theta-kurt,0.0014563925
ch4-beta-psd,0.0014514935
ch14-lowgamma-relpow,0.0014430557
ch11-lowgamma-hjmob,0.0014355455
ch12-lowgamma-hjmob,0.0014030144
ch14-alpha-hjmob,0.0014022625
ch5-beta-kurt,0.0013752354
