feature,mean_importance
ch5-lowgamma-hjmob,0.6724738
ch13-lowgamma-skew,0.35327357
ch7-lowgamma-skew,0.26201797
ch8-lowgamma-hjcomp,0.22480015
ch13-theta-kurt,0.21740137
ch7-beta-hjmob,0.18169875
ch11-alpha-skew,0.16617675
ch10-lowgamma-hjmob,0.16363603
ch13-lowgamma-peaktopeak,0.1632575
ch3-lowgamma-de,0.1555594
ch6-lowgamma-kurt,0.15203373
ch2-lowgamma-peaktopeak,0.14875256
ch5-lowgamma-hjcomp,0.14386399
ch17-lowgamma-hjcomp,0.13027844
ch10-theta-skew,0.12810647
ch19-theta-kurt,0.12395562
ch5-delta-kurt,0.114777856
ch10-theta-kurt,0.110015295
ch9-beta-kurt,0.10974693
ch12-beta-skew,0.10559422
ch11-lowgamma-kurt,0.10190094
ch3-beta-skew,0.10164259
ch6-beta-psd,0.10024977
ch8-theta-kurt,0.09946332
ch1-lowgamma-kurt,0.093783684
ch8-sigma-relpow,0.09368305
ch1-lowgamma-de,0.0921473
ch2-lowgamma-hjcomp,0.08540717
ch10-beta-hjcomp,0.08412399
ch4-beta-psd,0.07769339
ch13-theta-psd,0.07269661
ch10-sigma-skew,0.07192681
ch6-beta-skew,0.07055543
ch19-sigma-skew,0.06863679
ch18-sigma-relpow,0.06381494
ch12-beta-hjcomp,0.05923264
ch14-delta-relpow,0.058044713
ch7-lowgamma-kurt,0.057428036
ch11-lowgamma-de,0.05505095
ch7-sigma-relpow,0.052673046
ch5-lowgamma-relpow,0.049284365
ch5-beta-kurt,0.04753551
ch13-lowgamma-hjcomp,0.04666271
ch16-theta-kurt,0.04602624
ch17-lowgamma-hjmob,0.04426502
ch5-sigma-relpow,0.043742117
ch12-lowgamma-hjmob,0.04366443
ch1-sigma-kurt,0.043419827
ch3-lowgamma-hjmob,0.043243904
ch2-theta-kurt,0.0423209
ch18-beta-psd,0.04186353
ch3-sigma-relpow,0.039930332
ch6-lowgamma-hjcomp,0.039352
ch7-theta-kurt,0.038658176
ch16-beta-kurt,0.03859769
ch5-beta-skew,0.03835278
ch5-lowgamma-peaktopeak,0.038039166
ch4-lowgamma-std,0.0379851
ch8-sigma-kurt,0.03782677
ch16-lowgamma-hjmob,0.037315056
ch12-theta-peaktopeak,0.037097473
ch14-lowgamma-kurt,0.036032993
ch17-lowgamma-std,0.035710897
ch17-sigma-skew,0.03449346
