feature,mean_importance
ch17-lowgamma-std,0.30096555
ch17-lowgamma-de,0.18810572
ch8-lowgamma-std,0.1549874
ch15-lowgamma-kurt,0.12609002
ch10-lowgamma-hjmob,0.11580313
ch15-lowgamma-hjmob,0.099529766
ch2-lowgamma-skew,0.08736903
ch7-theta-kurt,0.05321399
ch3-lowgamma-std,0.04726066
ch4-lowgamma-peaktopeak,0.046460092
ch8-theta-kurt,0.045162205
ch14-theta-skew,0.044190593
ch9-sigma-skew,0.040015765
ch3-beta-kurt,0.039107785
ch10-lowgamma-peaktopeak,0.034488574
ch7-sigma-skew,0.024841018
ch17-lowgamma-hjmob,0.023369802
ch13-alpha-skew,0.02195496
ch2-theta-kurt,0.021944955
ch4-sigma-skew,0.02151038
ch12-lowgamma-hjmob,0.021356285
ch16-lowgamma-peaktopeak,0.020913027
ch16-lowgamma-de,0.020046093
ch5-lowgamma-hjcomp,0.01943889
ch17-sigma-skew,0.01877104
ch7-lowgamma-kurt,0.018346913
ch7-sigma-relpow,0.017503617
ch4-lowgamma-std,0.016680537
ch13-theta-skew,0.016270718
ch6-theta-kurt,0.01571491
ch11-lowgamma-de,0.014663118
ch4-sigma-kurt,0.013503176
ch9-lowgamma-hjmob,0.013330352
ch11-theta-relpow,0.013300112
ch5-beta-kurt,0.012453454
ch4-lowgamma-kurt,0.012420391
ch13-lowgamma-hjact,0.012131329
ch8-lowgamma-de,0.011492321
ch16-theta-skew,0.011394847
ch8-sigma-kurt,0.011164375
ch7-lowgamma-skew,0.01093101
ch18-beta-kurt,0.010844564
ch17-beta-psd,0.010630951
ch13-theta-relpow,0.010463706
ch17-theta-kurt,0.010295556
ch8-sigma-skew,0.00978579
ch13-alpha-relpow,0.009225338
ch17-alpha-skew,0.009131125
ch4-lowgamma-hjcomp,0.008709223
ch6-lowgamma-kurt,0.008424437
ch11-lowgamma-peaktopeak,0.008225998
ch7-alpha-peaktopeak,0.008213904
ch5-lowgamma-kurt,0.008162911
ch11-lowgamma-kurt,0.008081179
ch13-lowgamma-kurt,0.008015662
ch7-sigma-peaktopeak,0.007911346
ch19-lowgamma-hjcomp,0.007827101
ch7-alpha-hjmob,0.007731131
ch1-theta-kurt,0.0071683098
ch8-sigma-relpow,0.006621342
ch16-lowgamma-hjcomp,0.0065677115
ch17-lowgamma-hjcomp,0.006417397
ch4-lowgamma-relpow,0.006216939
ch14-sigma-kurt,0.006188274
ch11-lowgamma-relpow,0.0061213747
ch10-theta-kurt,0.0059912885
ch7-beta-hjact,0.0058986754
ch15-lowgamma-peaktopeak,0.0058603054
ch13-beta-peaktopeak,0.0056935293
ch5-sigma-relpow,0.005544102
ch19-alpha-skew,0.005509304
ch3-beta-skew,0.0054789255
ch12-lowgamma-peaktopeak,0.0054737674
ch10-lowgamma-hjcomp,0.0054426235
ch15-alpha-hjmob,0.0054243654
ch4-delta-relpow,0.005384802
ch3-lowgamma-hjmob,0.0053806137
ch17-beta-kurt,0.005333982
ch4-sigma-peaktopeak,0.005279691
ch18-theta-kurt,0.0048992448
ch19-lowgamma-hjmob,0.004719638
ch10-sigma-relpow,0.0046782433
ch15-sigma-relpow,0.004410302
ch15-lowgamma-de,0.0042824675
ch3-theta-psd,0.0041217166
ch13-delta-relpow,0.0040890025
ch13-lowgamma-peaktopeak,0.003950885
ch16-beta-kurt,0.0039434177
ch9-theta-skew,0.0037768949
ch14-theta-kurt,0.0037558004
ch19-lowgamma-kurt,0.0037471962
ch9-lowgamma-kurt,0.0037055984
ch9-lowgamma-std,0.0036572095
ch2-beta-skew,0.0036470203
ch16-delta-relpow,0.003627113
ch7-theta-hjcomp,0.003617881
ch13-sigma-skew,0.0035817449
ch3-lowgamma-de,0.0035460703
ch14-beta-skew,0.00350703
ch8-beta-psd,0.0034464733
ch7-theta-relpow,0.003378886
ch17-lowgamma-kurt,0.0033611346
ch1-lowgamma-hjmob,0.003349971
ch6-lowgamma-peaktopeak,0.0032545368
ch8-beta-hjcomp,0.0032178687
ch3-lowgamma-hjcomp,0.0031848534
ch7-beta-peaktopeak,0.0031601621
ch12-alpha-hjmob,0.0031085005
ch7-lowgamma-de,0.003086661
ch12-lowgamma-de,0.0030686047
ch3-delta-relpow,0.003050285
ch7-lowgamma-relpow,0.0029724669
ch17-sigma-peaktopeak,0.0029290935
ch6-beta-psd,0.0028836178
ch14-alpha-skew,0.0028577219
ch11-sigma-relpow,0.002768043
ch3-lowgamma-kurt,0.0027566731
ch5-sigma-skew,0.0026306168
ch4-beta-psd,0.0026298293
ch3-beta-relpow,0.0026174164
ch3-sigma-skew,0.0025650011
ch19-lowgamma-peaktopeak,0.0024960504
ch10-beta-skew,0.0024806422
ch14-sigma-skew,0.0024804268
ch12-lowgamma-kurt,0.0024470636
ch16-beta-skew,0.0024351839
ch14-alpha-kurt,0.002423718
ch12-beta-peaktopeak,0.0024180575
ch1-beta-hjcomp,0.0024132275
ch7-theta-skew,0.002379597
ch7-lowgamma-hjact,0.002337668
ch4-alpha-hjcomp,0.0023020864
ch15-lowgamma-relpow,0.002293464
ch8-beta-skew,0.0022931509
ch18-beta-peaktopeak,0.0022666126
ch12-theta-kurt,0.0022209422
ch6-delta-skew,0.0022029877
ch18-beta-hjcomp,0.0021688323
ch8-lowgamma-skew,0.0021591708
ch9-lowgamma-hjcomp,0.0021556865
ch19-lowgamma-de,0.002155275
ch18-lowgamma-hjmob,0.0021446925
ch18-theta-relpow,0.0021432536
ch10-lowgamma-kurt,0.0021356517
ch9-theta-kurt,0.0021181721
ch8-delta-relpow,0.0020537756
ch14-delta-relpow,0.0020229877
ch8-theta-skew,0.002005409
ch4-alpha-hjmob,0.0018950423
ch14-beta-psd,0.0018324506
ch17-beta-relpow,0.0018304929
ch6-lowgamma-hjmob,0.001788344
ch18-delta-relpow,0.001734539
ch7-lowgamma-peaktopeak,0.0016344354
ch16-lowgamma-hjmob,0.0016237918
ch19-theta-kurt,0.001577689
ch13-theta-kurt,0.001553322
ch19-sigma-skew,0.0015369257
ch18-lowgamma-peaktopeak,0.0015299459
ch12-beta-skew,0.001528019
ch10-theta-relpow,0.0015136666
ch8-lowgamma-kurt,0.0014955162
ch9-alpha-relpow,0.0014846295
ch2-lowgamma-hjcomp,0.0014826978
ch3-delta-skew,0.0014760017
ch4-alpha-kurt,0.0014737408
ch10-beta-peaktopeak,0.0014654882
ch18-sigma-relpow,0.0014531964
ch14-lowgamma-hjmob,0.0014441694
ch2-beta-hjcomp,0.0014412231
ch11-lowgamma-hjcomp,0.0014217477
ch3-lowgamma-peaktopeak,0.0014082985
ch5-sigma-kurt,0.0014054467
ch12-sigma-skew,0.0014027155
ch12-beta-hjcomp,0.0014018727
ch12-alpha-skew,0.0013927832
ch16-theta-hjcomp,0.0013822105
ch5-alpha-hjmob,0.0013431348
ch16-lowgamma-relpow,0.0013262457
ch1-lowgamma-kurt,0.0013048266
ch19-lowgamma-std,0.0012518282
ch10-sigma-skew,0.0012511074
ch17-theta-skew,0.0012431224
ch17-alpha-hjmob,0.0012062759
ch13-lowgamma-hjcomp,0.0012049766
ch2-delta-skew,0.0011930316
ch18-sigma-peaktopeak,0.0011725249
ch2-sigma-skew,0.0011231183
ch4-lowgamma-de,0.001114786
ch18-alpha-kurt,0.0011084402
ch17-beta-peaktopeak,0.0010625521
ch5-lowgamma-de,0.0010363357
ch4-lowgamma-hjmob,0.0009950756
ch13-lowgamma-hjmob,0.0009829697
ch9-alpha-skew,0.00095903507
ch15-sigma-skew,0.0009519858
ch3-alpha-relpow,0.00095031527
ch6-lowgamma-hjact,0.000930479
ch2-alpha-skew,0.0009222991
ch6-sigma-skew,0.00092220854
ch17-sigma-kurt,0.00087274145
ch13-beta-skew,0.0008696
ch9-beta-skew,0.0008556682
ch19-lowgamma-relpow,0.0008285279
ch6-sigma-peaktopeak,0.00081686076
ch15-alpha-skew,0.0007881035
ch14-lowgamma-de,0.000782206
ch15-delta-skew,0.0007508944
ch18-lowgamma-kurt,0.0007329407
ch3-beta-hjcomp,0.0007298753
ch6-theta-relpow,0.0007264501
ch4-beta-peaktopeak,0.00072078913
ch18-lowgamma-de,0.00070665823
ch1-sigma-skew,0.00070602814
ch16-theta-kurt,0.00065135787
ch7-alpha-relpow,0.00064908975
ch1-sigma-kurt,0.0006449514
ch3-beta-psd,0.0006100625
ch11-delta-relpow,0.00060403184
ch19-delta-relpow,0.00060185534
ch15-beta-skew,0.00058912276
ch9-lowgamma-peaktopeak,0.0005697454
ch19-sigma-kurt,0.00056552707
ch14-beta-kurt,0.0005559367
ch11-theta-skew,0.00054246734
ch1-lowgamma-relpow,0.00052856083
ch19-sigma-relpow,0.0005141887
ch4-delta-kurt,0.00048548938
ch2-alpha-hjcomp,0.0004851212
ch9-lowgamma-de,0.00048041315
ch6-lowgamma-hjcomp,0.00044699977
ch8-lowgamma-hjcomp,0.00044110845
ch18-beta-relpow,0.00041359774
ch12-alpha-relpow,0.0004041825
ch7-beta-psd,0.00040296215
ch11-beta-skew,0.0003114968
ch17-alpha-peaktopeak,0.00026883258
ch6-lowgamma-de,0.00024642068
ch4-theta-kurt,0.00019230781
ch10-beta-hjcomp,0.00016429543
ch6-alpha-kurt,0.00016155983
ch14-lowgamma-skew,9.994294e-05
ch13-beta-relpow,6.77236e-05
ch10-lowgamma-de,0.0
ch7-beta-skew,0.0
ch14-lowgamma-peaktopeak,0.0
ch18-lowgamma-psd,0.0
ch4-theta-skew,0.0
ch7-beta-hjmob,0.0
ch5-lowgamma-relpow,0.0
ch1-alpha-skew,0.0
ch12-theta-hjcomp,0.0
ch5-delta-relpow,0.0
ch8-alpha-skew,0.0
ch8-beta-peaktopeak,0.0
ch19-beta-relpow,0.0
ch6-alpha-hjcomp,0.0
ch18-beta-psd,0.0
ch3-beta-peaktopeak,0.0
ch5-beta-skew,0.0
ch1-theta-skew,0.0
ch14-lowgamma-kurt,0.0
ch5-theta-kurt,0.0
ch6-alpha-skew,0.0
ch1-beta-skew,0.0
ch1-alpha-kurt,0.0
ch17-lowgamma-hjact,0.0
ch2-alpha-hjmob,0.0
ch4-alpha-skew,0.0
ch2-lowgamma-peaktopeak,0.0
ch5-theta-relpow,0.0
ch8-lowgamma-psd,0.0
ch8-lowgamma-peaktopeak,0.0
ch12-theta-peaktopeak,0.0
ch15-theta-hjcomp,0.0
ch14-lowgamma-relpow,0.0
ch5-lowgamma-peaktopeak,0.0
ch5-theta-skew,0.0
ch13-lowgamma-de,0.0
ch9-lowgamma-psd,0.0
ch13-lowgamma-psd,0.0
ch7-delta-skew,0.0
ch12-sigma-relpow,0.0
ch10-theta-skew,0.0
ch16-beta-hjmob,0.0
ch13-theta-psd,0.0
ch1-beta-psd,0.0
ch17-lowgamma-peaktopeak,0.0
ch2-lowgamma-de,0.0
ch1-lowgamma-peaktopeak,0.0
ch17-lowgamma-psd,0.0
ch3-sigma-relpow,0.0
ch9-beta-peaktopeak,0.0
ch2-beta-relpow,0.0
ch14-alpha-relpow,0.0
ch8-alpha-hjcomp,0.0
ch10-beta-psd,0.0
ch1-lowgamma-de,0.0
ch6-lowgamma-psd,0.0
ch7-lowgamma-psd,0.0
ch7-beta-hjcomp,0.0
ch13-lowgamma-skew,0.0
ch9-lowgamma-hjact,0.0
ch7-lowgamma-std,0.0
ch11-lowgamma-skew,0.0
ch8-theta-relpow,0.0
ch1-theta-hjcomp,0.0
ch5-lowgamma-psd,0.0
ch4-beta-hjcomp,0.0
ch19-theta-skew,0.0
ch11-alpha-skew,0.0
ch3-lowgamma-relpow,0.0
ch16-sigma-kurt,0.0
ch8-alpha-peaktopeak,0.0
ch10-lowgamma-relpow,0.0
ch10-delta-skew,0.0
ch6-delta-relpow,0.0
ch5-alpha-kurt,0.0
ch7-beta-relpow,0.0
ch3-lowgamma-hjact,0.0
ch4-lowgamma-psd,0.0
ch6-lowgamma-relpow,0.0
ch1-beta-relpow,0.0
ch12-delta-relpow,0.0
ch10-alpha-skew,0.0
ch7-delta-relpow,0.0
ch13-sigma-kurt,0.0
ch18-alpha-skew,0.0
ch19-alpha-kurt,0.0
ch2-lowgamma-relpow,0.0
ch3-alpha-skew,0.0
ch8-lowgamma-hjact,0.0
ch9-beta-hjact,0.0
ch13-sigma-relpow,0.0
ch18-theta-skew,0.0
ch11-alpha-hjmob,0.0
ch15-theta-skew,0.0
ch11-beta-psd,0.0
ch12-theta-skew,0.0
ch4-lowgamma-skew,0.0
ch16-sigma-skew,0.0
ch5-delta-kurt,0.0
ch13-beta-hjcomp,0.0
ch11-alpha-relpow,0.0
ch7-theta-psd,0.0
ch6-alpha-hjmob,0.0
ch14-beta-peaktopeak,0.0
ch5-lowgamma-hjmob,0.0
ch15-theta-kurt,0.0
ch11-lowgamma-psd,0.0
ch19-lowgamma-psd,0.0
ch14-alpha-hjmob,0.0
ch6-lowgamma-std,0.0
ch9-beta-psd,0.0
ch13-alpha-hjmob,0.0
ch6-theta-skew,0.0
ch13-alpha-kurt,0.0
ch3-lowgamma-psd,0.0
ch12-sigma-kurt,0.0
ch13-beta-psd,0.0
ch4-lowgamma-hjact,0.0
ch4-theta-relpow,0.0
ch18-alpha-hjmob,0.0
ch3-theta-skew,0.0
ch19-alpha-relpow,0.0
ch11-lowgamma-hjmob,0.0
ch4-theta-hjcomp,0.0
ch3-beta-hjmob,0.0
ch17-delta-relpow,0.0
ch6-beta-skew,0.0
ch9-beta-kurt,0.0
ch6-beta-hjcomp,0.0
ch4-alpha-relpow,0.0
ch5-alpha-relpow,0.0
ch13-lowgamma-std,0.0
ch7-theta-peaktopeak,0.0
