feature,mean_importance
ch6-lowgamma-hjact,0.13285705
ch7-theta-relpow,0.12341831
ch10-beta-psd,0.07915888
ch16-lowgamma-de,0.0705392
ch19-lowgamma-de,0.06607773
ch1-alpha-skew,0.057238698
ch18-lowgamma-peaktopeak,0.054053154
ch4-lowgamma-std,0.041052137
ch14-alpha-hjmob,0.03831004
ch1-lowgamma-de,0.036583282
ch10-lowgamma-de,0.036509026
ch11-lowgamma-hjmob,0.03298548
ch10-beta-peaktopeak,0.030210348
ch6-lowgamma-hjmob,0.026575483
ch13-theta-relpow,0.025526792
ch18-lowgamma-de,0.024260364
ch1-lowgamma-peaktopeak,0.02099251
ch3-lowgamma-hjact,0.020353539
ch19-lowgamma-std,0.020247553
ch9-lowgamma-std,0.019060787
ch13-lowgamma-hjmob,0.01770555
ch6-theta-kurt,0.017700797
ch5-lowgamma-hjmob,0.017350726
ch16-theta-kurt,0.017141579
ch18-beta-psd,0.016536895
ch4-sigma-kurt,0.015585324
ch8-lowgamma-std,0.011657629
ch6-lowgamma-de,0.011474095
ch5-lowgamma-hjcomp,0.011262972
ch8-beta-psd,0.01085292
ch14-lowgamma-hjmob,0.010385214
ch3-beta-hjmob,0.010105092
ch8-lowgamma-peaktopeak,0.009125691
ch12-lowgamma-kurt,0.008980233
ch2-lowgamma-de,0.008640579
ch15-lowgamma-de,0.008626193
ch12-theta-kurt,0.008504221
ch3-lowgamma-de,0.008044074
ch5-lowgamma-kurt,0.007910405
ch15-lowgamma-peaktopeak,0.0076445523
ch3-beta-psd,0.00710123
ch6-theta-relpow,0.0069243177
ch19-alpha-skew,0.0067368564
ch9-lowgamma-hjmob,0.006230904
ch12-alpha-hjmob,0.006182716
ch10-sigma-relpow,0.0061378274
ch16-lowgamma-peaktopeak,0.0058115306
ch2-theta-kurt,0.00552521
ch3-lowgamma-kurt,0.0055248663
ch6-sigma-peaktopeak,0.0053095026
ch7-theta-skew,0.005119411
ch13-lowgamma-peaktopeak,0.005084961
ch15-sigma-relpow,0.005044733
ch11-beta-psd,0.004196562
ch4-sigma-peaktopeak,0.0038582333
ch18-alpha-hjmob,0.0037840025
ch16-beta-kurt,0.003764256
ch13-beta-relpow,0.0037566666
ch19-theta-skew,0.0036205873
ch1-theta-kurt,0.0034768379
ch6-beta-hjcomp,0.0034319023
ch14-theta-kurt,0.0034244785
ch12-theta-peaktopeak,0.0033417956
ch13-sigma-relpow,0.0033053923
ch17-alpha-peaktopeak,0.0031771732
ch5-beta-kurt,0.0031708167
ch13-beta-psd,0.0029168737
ch18-lowgamma-kurt,0.002722981
ch16-theta-hjcomp,0.0027193904
ch18-alpha-skew,0.0027089545
ch7-beta-relpow,0.0026747866
ch6-lowgamma-peaktopeak,0.0025243198
ch16-sigma-kurt,0.0024700763
ch5-theta-relpow,0.0024512515
ch11-theta-skew,0.0023329288
ch17-sigma-skew,0.0022652757
ch14-lowgamma-de,0.0022295848
ch14-alpha-skew,0.0022150895
ch17-alpha-hjmob,0.002185975
ch10-beta-skew,0.0021503193
ch3-lowgamma-std,0.0021431283
ch17-sigma-peaktopeak,0.0020797867
ch5-alpha-hjmob,0.002034476
ch13-theta-kurt,0.0020323128
ch5-sigma-kurt,0.0019595907
ch13-lowgamma-hjcomp,0.0019392478
ch18-beta-hjcomp,0.0019359892
ch7-lowgamma-kurt,0.0017902176
ch5-theta-kurt,0.0016949002
ch14-lowgamma-peaktopeak,0.0016865641
ch4-theta-kurt,0.0016790614
ch14-beta-kurt,0.0016592325
ch19-sigma-skew,0.0016482391
ch18-theta-skew,0.0016057955
ch19-lowgamma-hjcomp,0.0015911995
ch7-sigma-relpow,0.0015565667
ch1-beta-psd,0.0015434771
ch17-beta-relpow,0.0015324987
ch3-lowgamma-hjmob,0.0014598322
ch7-theta-kurt,0.0014529176
ch5-theta-skew,0.0014270472
ch17-sigma-kurt,0.0013957681
ch7-alpha-hjmob,0.0013825663
ch5-lowgamma-de,0.0013699458
ch8-lowgamma-kurt,0.001333764
ch11-alpha-hjmob,0.0012982707
ch10-theta-skew,0.00126433
ch13-delta-relpow,0.0011803124
ch2-alpha-hjcomp,0.0011043249
ch13-sigma-skew,0.0010707307
ch3-alpha-relpow,0.0010700803
ch3-beta-kurt,0.001041518
ch19-lowgamma-kurt,0.0009977059
ch8-lowgamma-de,0.0009860806
ch19-theta-kurt,0.0009788503
ch17-lowgamma-std,0.0009674648
ch6-alpha-skew,0.0009663919
ch14-theta-skew,0.0009620794
ch1-sigma-skew,0.00095165125
ch12-sigma-kurt,0.00093261333
ch9-lowgamma-peaktopeak,0.0009228442
ch10-lowgamma-relpow,0.000915599
ch12-alpha-skew,0.00091272336
ch3-delta-relpow,0.0009106176
ch14-beta-skew,0.00090741145
ch2-alpha-skew,0.0008674663
ch7-alpha-relpow,0.00086262426
ch1-lowgamma-hjmob,0.00085913955
ch9-lowgamma-de,0.0008589843
ch8-beta-skew,0.000850935
ch6-theta-skew,0.00082625495
ch12-lowgamma-peaktopeak,0.00080747076
ch8-theta-skew,0.00080569484
ch2-beta-hjcomp,0.0007810149
ch5-sigma-relpow,0.0007706523
ch13-alpha-hjmob,0.0007652845
ch13-sigma-kurt,0.000749598
ch17-lowgamma-hjcomp,0.00072865514
ch3-theta-skew,0.00071962166
ch15-theta-skew,0.0007167196
ch4-theta-hjcomp,0.00071452
ch11-beta-skew,0.00069925043
ch15-theta-kurt,0.00069896906
ch6-delta-relpow,0.0006974599
ch2-lowgamma-skew,0.0006769768
ch12-sigma-relpow,0.00066786003
ch7-beta-skew,0.00065904355
ch10-beta-hjcomp,0.00065852515
ch14-lowgamma-relpow,0.0006535262
ch19-sigma-relpow,0.0006381301
ch14-lowgamma-kurt,0.00062047085
ch11-lowgamma-hjcomp,0.0006200748
ch5-alpha-kurt,0.0006170668
ch19-alpha-kurt,0.00060729054
ch15-lowgamma-relpow,0.0005942788
ch11-theta-relpow,0.0005844889
ch1-alpha-kurt,0.0005689209
ch4-lowgamma-kurt,0.0005667251
ch10-delta-skew,0.0005315317
ch17-lowgamma-peaktopeak,0.000529025
ch4-theta-skew,0.000527946
ch18-beta-kurt,0.00050099107
ch13-beta-hjcomp,0.0004932298
ch7-delta-skew,0.0004845948
ch11-alpha-skew,0.00048024143
ch19-delta-relpow,0.00047036464
ch12-lowgamma-de,0.00045875847
ch9-lowgamma-kurt,0.00043787892
ch4-lowgamma-relpow,0.00041231234
ch11-sigma-relpow,0.00040530745
ch3-lowgamma-hjcomp,0.0004033547
ch18-theta-relpow,0.0003841471
ch1-beta-skew,0.00038333138
ch15-alpha-hjmob,0.0003812553
ch17-theta-kurt,0.0003100639
ch7-sigma-peaktopeak,0.00030642896
ch4-beta-hjcomp,0.00030069365
ch16-beta-skew,0.00029618357
ch14-beta-peaktopeak,0.00029058786
ch3-lowgamma-relpow,0.00026717945
ch1-lowgamma-relpow,0.00026596757
ch11-lowgamma-peaktopeak,0.0002600159
ch4-lowgamma-peaktopeak,0.0002458567
ch5-delta-kurt,0.00016145063
ch13-theta-psd,0.00013972075
ch8-alpha-hjcomp,0.00011352353
ch18-sigma-peaktopeak,7.259598e-05
ch16-sigma-skew,0.0
ch11-delta-relpow,0.0
ch8-sigma-kurt,0.0
ch8-alpha-peaktopeak,0.0
ch4-delta-relpow,0.0
ch7-theta-hjcomp,0.0
ch16-beta-hjmob,0.0
ch14-sigma-skew,0.0
ch17-lowgamma-hjmob,0.0
ch4-delta-kurt,0.0
ch15-theta-hjcomp,0.0
ch8-theta-kurt,0.0
ch4-alpha-hjcomp,0.0
ch16-delta-relpow,0.0
ch14-sigma-kurt,0.0
ch9-sigma-skew,0.0
ch6-lowgamma-relpow,0.0
ch17-beta-psd,0.0
ch8-sigma-relpow,0.0
ch10-theta-kurt,0.0
ch1-lowgamma-kurt,0.0
ch11-lowgamma-skew,0.0
ch5-sigma-skew,0.0
ch12-sigma-skew,0.0
ch16-lowgamma-relpow,0.0
ch3-theta-psd,0.0
ch12-theta-hjcomp,0.0
ch4-beta-psd,0.0
ch7-beta-hjact,0.0
